"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","CellType"
"intensitiespanc1",430.076915740961,812.794883728023,559.974365234364,16575.7952728277,1056.66668462754,788.358981132505,2478.53851318363,830.128185272213,869.128211975097,3539.89746856692,1730.9999923706,669.820518493653,659.717945098881,2116.97439575191,3783.69226455691,1858.12822079662,1095.74358463287,422.025646209715,629.128204345706,602.897445678711,263.69230556488,1162.64100646973,503.307689666746,6102.89722824104,8423.66680908201,4728.07679796219,2264.56406593328,3933.23069190979,2016.38465857508,553.179495811467,1559.51280975342,14367.2821350098,4569.2563781738,1889.66662597656,6129.87196350097,2298.30767822267,15098.0769042969,16412.025390625,4087.38467407224,2877.15382385254,2648.97438049316,1762.02565002442,7320.53834533693,33274.4348449707,2489.43595504758,1537.56414794922,2875.38458251953,3296.25644683835,20114.8459777832,85124.9000396729,13978.5389308924,1527.97436523438,2579.20510864259,3188.00003051757,2745.41027832028,12543.12840271,15783.2310180664,5007.92315673828,2407.94866943359,3363.89743041991,5115.48723983764,14687.9231491084,78967.3615837097,48534.2567138672,1856.25639343265,4428.23075866703,5008.2308273315,9599.7178344726,1875.56407165528,3876.1025695801,12306.5893316269,12113.0511016851,20241.3591766357,23256.2060852051,6916.51272583009,4220.28206634522,5795.3076934815,5772.74359130868,3556.07690429693,2188.74360656738,1918.61533737186,1425.87178039551,3513.48707580563,10862.1538925171,16422.692760467,6829.58964729304,82.6410236358646,1743.58972167968,2019.25644683837,1684.51279830935,1221.97436714172,520.461526870724,1029.71794128418,1721.94870376587,2421.56416511535,3029.05129432683,1709.0513420105,3950.64096450806,2161.43585205081,1065.64105224609,325.948724746701,695.717960357671,470.615384578707,250.179491043091,827.743591308597,214.6923122406,167.333333969115,134.205129861832,787.692315101617,775.794866561894,248.307691097255,178.000004768371,90.5641016960144,24.6923078298568,53.897435188293,143.538459777832,163.871791839599,288.461533546448,545.461540222169,346.384618759152,323.666667938227,230.794868469234,186.358972549438,74.4615377187728,84.0512833595275,163.871794700622,271.30769097805,131.897438764572,121.179487228393,123.846154212951,95.7435891628266,52.4358977079395,53.3589758872987,64.9999994039539,68.5641010999672,124.205127716065,74.948719024659,61.1538455486302,245.256412506102,45.5641033649446,10.9999997615814,"panc1"
"intensitiespanc10",296,721.724998474115,553.349998474121,21306.5992431641,1449.57500839233,829.399997711179,3968.50005340574,831.050003051761,998.55001831056,2967.17496490478,1989.17504119872,578.27499771118,628.29998779296,2224.17498779293,5489.62509155268,2351.32505035398,908.14998626709,541.425008773811,508.050006866462,616.949989318842,370.474994659424,1654.05000305176,797.07501220703,5439.50004959104,4530.9250984192,5718.849975586,2812.85009956355,5194.4750976562,2595.12503433225,896.30000686646,1271.84999084472,6902.92492294314,3290.90000152588,2845.75003051758,4890.6750488281,2707.72494506836,16981.900390625,20105.0250244141,4050.70004272458,1547.2250137329,2563.15000915527,1549.42497253417,7543.64999389648,41849.150787353,2500.10000610352,1682.47502136232,2529.09997558594,2826.89999389649,20120.5496063232,96604.8968734741,16209.4251976008,1289.15000915528,2061.12503051758,3322.69993591305,2785.14996337891,10164.0500335693,15110.1997566228,4564.35003662107,1718.04997253418,2609.67492675781,5539.40005111692,10966.8998031621,55551.8257694244,31816.724609375,1872.25003051758,3020.72500610352,3712.24999999996,6849.27496337894,1437.82498168946,3537.9499511719,8435.32481384278,8648.97489166265,12330.2002105708,13684.575195312,4155.00000000006,3084.62495422365,4212.49993896487,4786.22500610348,3125.50006103515,1904.92504882813,713.400016784668,1203.62497711181,2668.77495574953,7419.97529220576,9409.69980430613,3919.52510452265,73.1249995231636,1477.82495880127,1019.29997444153,934.274972915649,842.099983215328,257.224999904633,777.125007629395,1447.1750125885,1879.24999046326,2035.59996986392,1306.5249824524,2188.90000152588,1310.24998474118,511.07499122619,276.65000343323,462.774999618529,298.274999618529,103.275003433228,726.775005340572,203.800003051757,71.9500021934513,48.95000076294,566.850004196162,533.175004959108,160.59999847412,207.249999999999,47.175001144409,33.8000006675716,40.675001144409,92.425001144409,70.525001525879,170.674998760224,249.349998474121,207.550001144409,188.849998474122,140.700002670289,108.675003051758,101.799999237061,71.750001907349,47.875,158.70000076294,103.650001049042,113.550001144409,70.7250018119806,27.9250006675723,32.95000076294,80.824999809265,13.375,49.2749996185307,82.400001525879,6,36.2750010490413,84.8000025749206,40.70000076294,28.60000038147,"panc1"
"intensitiespanc11",242.911762237553,788.970581531517,421.764703750604,24503.8226318359,1665.20587158203,573.205886840828,4908.08815765376,559.441175460811,988.47059631348,2379.32352066039,2768.70583343507,690.441177368154,641.382351875305,1902.49998474122,5865.67658233642,3026.14715576169,1008.44119119644,708.94119262695,475.235294342039,497.17646789551,346.382354736328,2002.35297012324,1258.91176986695,5432.32354736326,7136.70594024658,6720.52938270564,3448.94114828115,6655.9410610199,2986.41172027595,1289.64704179768,1590.97058105468,5682.85279083257,3007.02935791014,2409.26473999023,5161.00024414062,2497.0294189453,12636.117401123,21809.175994873,4626.47068786624,2147.73532104493,2239.61769104003,1955.91171264649,10066.4413375855,41330.9995727539,2271.64711761469,1745.70584106446,2894.20582580565,3755.50010681149,25663.7949256897,102726.673248291,16734.2646636968,1646.50003051757,2349.58822631837,4730.85293579113,3663.70590209957,13144.4408111573,17815.2642669678,4977.17648315425,2303.20590209961,3236.32356262203,7108.02920532223,13943.5004024511,62500.7336807251,32294.911529541,2389.82351684569,3043.82350921635,5438.79418945308,7158.76483917233,2144.82348632812,4161.23522949224,9752.29452514648,10921.1469116211,14511.2945709234,15506.0294647212,4721.88228607178,3603.11779022217,5036.82342529297,4986.85284423825,3158.82357788085,1753.91180419922,1318.14706230164,2073.76470947266,3411.08811950683,8710.26460456856,11227.0885658264,4309.70586395269,143.735290527343,1695.73530578613,1559.41176986695,1219.55882263184,663.23530578613,300.529413223271,1385.97055053711,1610.61763381959,2327.82350158694,2621.61771392819,1706.79413223268,2388.73533630366,1193.44115066528,753.441187620155,230.147059440613,646.000007629392,530.82351779937,150.176471233368,860.588230133061,301.676469802859,90.0000033378594,100.999999999999,637.794112205505,541.676475524907,217.352938175198,207.588236808777,61.5294117927546,14.5294115543366,22.9117643833161,204.058819055553,135.470588684082,230.323534131045,261.676471710205,318.882352828982,286.882350921629,192.794114589691,284.470584869385,137.235292434691,83.911766052246,110.205884099006,276.882351875303,142.941175460816,163.647059440613,90.1176475286483,67.5882358551026,67.088234901429,89.1176425218585,62.3529424667362,87.764705657959,273.176475524897,13.6764703989028,86.852941513061,266.176467895509,44.7941170930855,34.647059440613,"panc1"
"intensitiespanc12",259.228576660159,1069.05715179444,535.600002288816,20862.8861999512,1460.59996891022,553.257143974306,3221.68576812741,739.857143402109,602.571437835689,2590.62860488889,1795.54290771485,527.514274597163,493.114284515382,2016.1999740601,5298.4285087585,2405.22858047488,981.314304351801,485.085700988765,517.371414184563,380.971424102781,275.685716629031,1733.45717430111,993.8857345581,5036.94283390051,7438.48575973511,7710.31426811221,4053.60006904607,5850.00003051758,2494.22867178912,1152.40002441406,1922.54287719727,5379.14293670652,3371.71432495119,2953.00004196166,4820.17146682737,2723.11431884767,14255.8571243286,24561.5434265137,4565.74287414553,2061.34283447267,2424.2857055664,2395.94290161133,8468.05734252926,41952.6573944092,3363.82864379881,1824.08570098876,2789.51426696782,4111.05712890618,26371.7424621582,109756.085266113,17659.3437538147,1972.40000152587,1987.22856140137,3915.02859497078,4076.0285644531,12305.4288635254,16697.9430770874,5190.685760498,2449.22863769532,3064.25717163085,8251.1429138184,13368.6857681274,60134.0267944336,33603.9732055664,1998.51428222656,3142.71426391601,4503.51429748535,7268.62863159178,2165.39999389648,4309.51428222649,10897.1426963806,10704.8571929932,13329.0001583099,15726.0854911804,4466.2286529541,3502.42864990237,4563.45727539065,4502.05708312996,2823.88569641118,2043.91427612304,1083.45716094971,1603.9714050293,3848.19986724851,9277.2286071777,12809.6570777893,4699.25732517248,84.7999984025954,1501.11428833007,1229.2857170105,1289.99999237061,750.342865705496,403.371422767637,1279.97145080566,1853.02860260005,2677.25717163083,2699.37152481084,1512.34286379814,2083.42854118345,1218.34283256531,456.028567314143,259.085720062256,845.657135009771,416.114292144779,117.914284706115,875.285705566402,199.714292526246,79.6000020504003,148.342857122421,795.885708808895,612.771429538726,273.371424674987,126.714282989501,91.257143020631,49.0285712480542,15.9714283943176,92.9428569078434,117.057144641877,386.028571128845,351.428579807285,464.714302062998,220.142854690551,235.600003242494,180.97142982483,212.571431159975,38.771427154541,120.257144093513,206.057142257691,154.400000095367,250.628579139713,119.171429872513,115.514286994934,76.8571436405188,130.857144355774,88.942858695983,43.2285711765288,167.771427154541,81.828571319581,106.942858815194,138.428573608399,78.9999995231635,29.9428566694256,"panc1"
"intensitiespanc13",272.04347991943,833.71738433838,675.565223693836,19142.9788360595,1069.97825622558,567.326086044308,2704.9998893738,778.56521987915,1150.52174377441,3599.93471527104,1350.23913574218,710.434772491456,630.565204620356,2113.54348754884,3701.13043451312,1879.97831583025,1396.04349136353,572.304348945617,484.956521987921,512.108699798588,384.369567871094,1676.43478393555,1019.1956539154,4008.71731948856,6442.19537353523,7042.97840118401,3582.08697509771,5900.76078033448,2644.32603454593,1126.93479967117,1831.76087951661,7704.80424880987,3327.56527709966,2658.56515502929,5971.82599639898,2748.86950683594,11940.1740722656,19777.696105957,4629.4346542358,1875.17388916016,2247.47827148437,1707.02171325683,9667.36978149414,33925.9124755854,2016.13043975829,1732.67393875122,3322.95648193355,4230.06520080569,21416.825756073,99148.1511535645,16211.825920105,1683.93478393556,2404.76091003417,3325.19570922852,3294.45654296875,11230.912979126,17400.7391357422,4988.30435180664,2644.28262329104,3122.5869293213,5960.50024414062,11452.1960773468,65616.5232620239,47872.0439910889,2054.47827148438,3744.91305541991,4203.00003051754,8452.34795379649,1867.10868835449,3795.02175903322,10613.1742858892,10947.4996318817,16118.848052979,22311.7833900452,7049.673828125,3850.63055419929,4936.97827148432,5229.60861206054,3392.60879516604,2479.54348754883,1727.21740150452,1966.8695678711,3690.06512451172,9094.28281021116,12799.3692703247,5435.04341125493,162.239129066467,1819.54345703125,1635.91300964355,1539.41304779053,1188.02171611786,593.173917770382,1224.97825622559,1982.89128112794,2876.69568634037,2642.8478355408,1631.34782409668,3248.78269195557,2050.80435943606,910.652203083037,397.869574785231,888.54346847534,452.652173995979,269.47825908661,1082.89129638672,411.043472409249,159.478264808655,269.956528663637,985.043487071982,1194.1086807251,476.804352760311,188.543473243718,138.717392444607,66.586957931518,100.434781074524,186.108695983887,112.956523418427,283.630429148675,312.521743774418,461.239128112793,449.608695030213,226.695653915405,334.521738052365,179.28260755539,80.0652168989182,189.782614707951,299.239128112794,151.282610893245,171.195650577545,122.282606959343,152.978258132935,81.3478277921672,146.021743893623,133.956517577172,99.9130444526671,223.586958885193,82.978260040283,75.6304335594171,171.43478345871,102.847823619843,82.9782609939572,"panc1"
"intensitiespanc14",348.169807434079,758.226425170899,710.98112487793,16638.7926483149,1174.09435939789,576.301895141601,1708.1886692047,612.924530029292,692.547168731691,2814.88677978512,2132.64150238037,801.1509399414,654.962266922001,1383.11324310303,3198.84905815119,1415.16977787012,1275.75473022461,470.056606292724,579.867908477786,625.301887512211,442.528303146355,1705.92458724979,732.03771400452,5378.86795806884,7521.71708679199,6763.39611244204,3360.47165298467,5738.79250526428,2997.6603560448,860.773567199702,1646.18867492675,10329.6038818359,4193.54722595217,2188.30191040038,5284.0942382813,2435.24528503415,14989.6420211792,19758.3578948975,4657.33958435058,2066.90565490723,2442.13208007813,1853.41513061523,8456.96231079106,43777.019607544,2235.54714584351,1625.50941467285,2682.3962097168,3701.88681030279,22457.2444992065,102202.362323761,17124.0945205688,1477.3962097168,2562.96228027344,3386.49063110351,3756.15087890626,11989.5093231202,16212.754554748,4877.81127929684,2388.6981201172,2970.24522399906,4892.88670349121,12514.5475387573,63098.1118927002,36776.5112056732,1978.13208007811,4202.45283508294,4254.83023071287,8209.30192565921,1616.20748901367,3963.32077026361,13010.6410751338,10505.755065918,15359.8675079351,18108.9628295898,7022.32059478755,3591.88684082036,4894.00012207034,6330.88681030274,3345.20758056641,2003.77360534668,1453.13206672669,1588.9245300293,3769.88670349116,11367.5285549163,16296.1507263178,6323.64133071904,126.641510367393,1691.26410675049,1555.6981048584,1616.98113632202,1468.24531555177,633.528308868404,1262.58491516114,1983.0188369751,2667.84906768801,3300.56605148315,1903.30185317996,3597.47177124021,2165.7169799805,1140.58492541314,423.754713058471,790.47170257568,506.113216400146,276.754717469214,909.717002868649,341.245283126828,81.150943756104,180.71697807312,1034.39624595642,811.169815063485,347.811326503747,250.528301239014,91.716979026795,48.9811315536495,22.1509433984755,168.188678264618,167.660377502442,257.207550287249,232.207545280457,361.245283126833,248.698108673095,179.415093898774,225.830192565918,191.509435176849,30.2452832460406,137.132075309754,183.150942325592,185.641511440273,139.075469970703,132.471699118613,141.698112249374,68.8113219738007,105.849057197571,104.075470924378,129.188678503036,184.603776931763,69.113206863404,62.0377348661421,164.000000953674,78.509433746337,36.2641508579259,"panc1"
"intensitiespanc15",355.499996185303,834.478241443627,577.239120483403,35856.0885009765,2447.36958408359,318.760864734651,8543.67408561706,838.065223693857,991.282600402824,2164.36963462831,1925.97830200196,785.97826004029,673.521732330326,1734.97827148438,11692.3474912643,5356.67384529119,1373.23914527893,424.956521511071,532.934780120853,474.413040161133,380.717391967773,4667.26073849201,2013.41306877142,5256.34775352472,7907.1521663665,16844.282333374,8699.65209197998,13588.7610807424,6644.56523227697,2104.60875272755,1234.7608718872,9215.06536865227,3650.13046646125,2447.82604980469,4607.26080322268,3014.91302490235,10638.7174682617,22285.9554748535,5188.13044738767,2046.13042449951,2128.47828674317,1763.456489563,8328.84777832021,43464.8486938471,1791.32608795166,1579.15215301513,2453.99999999999,3857.97819519048,24392.2824325562,98822.9809875488,16218.1960906982,1891.21739959716,2584.63047027588,2822.32608032231,3158.78256225585,11025.2610206604,25152.6728086472,5297.32620239263,2212.95648193359,3450.69564819338,5893.36948394777,16466.0000801086,71623.3879089355,43818.2625732422,2300.67393493653,4844.45654296877,5004.63052368167,7872.47824287419,1694.15217590332,4207.08708190918,15961.7604522705,16967.5866394048,17384.3263273239,17381.2835388184,6397.73912429816,3843.52174377442,5284.2827148438,6787.91319274907,3797.54348754886,1856.80432128907,1564.97826862335,1761.021774292,5180.3913192749,13616.6519203181,18453.9563941956,6441.32622623443,95.6739139556883,1517.56522369384,1494.54350662232,1527.95652961732,1592.43481063846,609.152170062062,1279.32609558106,2819.34788894656,3956.43480682371,3872.78253746026,2017.93474674225,4103.80443191531,2100.78260326383,1022.43476867676,289.847824573517,783.500001907345,604.021756052975,297.565212726591,969.13045501709,255.282612323765,190.239131927491,197.06521487236,1570.3477954864,1361.28260421753,517.956519126892,104.304346561432,107.826089859009,50.9130434989935,44.1739130020137,140.97826385498,138.195652484893,251.065217018124,412.282614707943,398.130433082585,349.47826385498,167.173914432525,285.413045883178,172.065218925473,96.630437850952,108.804345130919,224.5,175.608695983886,80.5869574546811,117.869562149048,185.0652217865,57.9565234184268,137.652170658111,65.5217385292058,71.2826087474818,145.565217971802,37.3260868787761,52.717391729355,198.826089859008,45.543478012085,27.5652179718013,"panc1"
"intensitiespanc16",323.695653915409,871.543487548836,471.673919677733,22335.0008544922,1448.54348754883,585.000007629394,2206.86957168583,960.913063049313,883.326070785532,2442.06520080563,1984.15218353272,814.608680725096,664.999996185297,1568.39128112793,6057.89111757273,3008.86959457402,1232.41302657127,701.717391967777,497.60869598389,628.608709335322,459.130439758301,2755.434879303,1217.78259563447,4987.34790229803,7441.5650997162,12019.3696899414,6185.78284549708,8547.43495368958,3886.76089191442,1296.39127564434,1596.23913574218,11158.9563903809,3776.86956405639,2355.78262329103,5956.39128875732,2944.99996948242,11902.4131469726,25451.7173156738,4897.32586288457,2616.73910522456,2520.19561767578,1948.19566345215,8955.15220642084,41995.1090545655,2676.78259658814,1576.91305541992,2844.17388916014,3644.15229797368,27002.9341125488,113295.540084839,18850.0643386841,1740.45654296874,2577.36950683593,2934.67385864258,3184.76083374024,14004.9347534175,20596.7614479064,5730.84774780271,3164.56521606444,3417.84790039059,5836.13029861449,17452.0208892822,79679.8444328308,48863.9582214355,3111.76086425781,4017.67398071283,5363.5651397705,9158.80436325065,1925.26086425782,4423.41297531132,14101.7175559998,16236.2169647217,18850.2382202149,20662.7819213867,6043.23893737789,3789.00005340577,6125.28262329099,6319.08695220954,3708.58703613285,1939.80435180664,1680.45648193359,1472.39130401611,4785.32618713384,12712.4566040034,16686.0652780532,6533.2175006867,92.4130415916444,1527.73915100098,1554.9999961853,1832.49998855591,1413.02174377442,504.021741867069,1369.54345703124,2108.89124298096,3366.95649719233,3650.065246582,2118.17389297487,4303.34789466856,2550.8477916717,1086.84781265259,412.978263854979,607.043468475337,440.478275299073,302.369569778438,1021.34783172607,386.391309738163,109.108696222305,113.804348468781,1310.82606315612,1173.39130401612,411.478256225583,220.717393398285,87.3913061618809,72.1521763801578,76.0434780120842,177.913041114811,111.456521987915,381.9782629013,458.217386245732,356.673914790153,395.434776306152,316.630435943596,279.260873794552,217.173917770386,66.9782613515853,149.760869026184,225.695655345917,210.673913002014,163.173918247223,115.108695030212,206.500000953675,89.173913955688,84.5434765815731,166.021737933159,54.565217971801,169.934782028198,61.6739109754559,59.4130439758296,113.956521987915,76.1304359436036,35.8913037776947,"panc1"
"intensitiespanc17",226.208335876465,764.25,695.79166412353,18138.1667480469,1133.16667747498,870.208324432372,2133.4791221619,417.791662216186,832.29167175293,2181.93752288815,2338.20829772949,569.604148864746,521.729173660278,1875.16670989987,3481.39592552188,1770.687489748,1399.83331680298,378.437498092652,480.541660308843,304.875,361.604160308843,1441.3541259766,842.833328247066,6462.87498474121,6678.0625209808,5916.75,2960.91666412354,4426.97933197026,2013.68752002714,725.645840644837,1386.125,8594.7707519531,3353.50002288815,2430.64581298828,4111.72923278811,2255.33334350586,17437.0413513179,16129.3329467769,3508.75008010867,2141.02084350586,1644.74998474121,1630.77082824707,8742.79168701172,41850.146484375,2107.97918701172,1504.70831298828,2161.625,3077.41666412354,20075.2291564941,99804.5390625,16690.4583358765,1173.70832443237,2197.08335876461,3046.75003051758,2707.95826721195,5175.35418701172,22997.3540802002,4850.72921752926,2095.12501525877,2653.72911071777,4922.49996566776,14151.9788360591,61634.0416603088,27230.7708282471,1189.02082443237,4098.10408020017,5508.52082824707,6466.10417938232,1647.35417175293,3558.47923278805,10572.2503223424,11998.3749923706,15745.6874990463,11959.1666717529,3589.97917175293,3830.91666030884,8006.9375,10523.3955078125,3282.08325958249,1392.93747711182,715.874995231628,1686.93751525879,3210.20841217044,9967.2291259766,12790.3336582189,4692.31258392337,72.5833320617681,1676.70836830139,1685.22919559475,1635.95834350586,959.250028610232,469.062510490418,877.020843505855,1662.91670608517,2401.83333206177,2939.87497520447,1896.89582157135,3160.97925567629,1644.58329010014,608.000013351441,229.229168891907,563.937509536744,363.312492370605,158.916665554047,662.812492370605,238.91667175293,48.8541674613951,92.208332061768,859.875023841859,755.937492370605,92.5416665077209,88.9375,49.4166662693025,46.45833492279,32.5625,91.3958334922791,63.3333323001866,141.062497615814,230.916666030884,209.541664123535,134.479169607163,133.250000953674,106.958331108094,97.3958313465125,34.8333334922788,57.4583332538605,116.437500596046,55.2916675806042,86.604167938232,21.9583332538605,36.4583327770235,10.0833330154419,62.1666674613948,42.1250007152555,10.3958330154419,81.583333015442,31.2708325386049,18.5000002384187,45.125000953674,24.3333332538605,1.1458333730698,"panc1"
"intensitiespanc18",264.452381134034,631.999996185306,579.714290618891,14400.4049072271,963.142864227291,643.761890411378,2611.47630691524,654.619052886969,655.571434020994,1970.64288330074,1742.57146263123,710.642848968502,554.428565979007,1787.7381105423,3216.28579425817,1350.04759788511,1146.69047164916,500.619049310684,437.261900901792,414.142864227289,219.666664123535,1006.02380275726,623.071418285372,5050.90487289424,5765.47615051277,3349.47619247436,1808.95237255093,3875.07152366638,2196.61901855468,566.523804664613,1724.6428527832,6219.928527832,3565.40475463866,2672.38098144532,5602.21450805664,2573.80952453614,13411.7381744385,20063.0723495483,4781.47613525391,1947.07147216798,2205.09521484375,1974.02377319335,8151.21408081058,39826.4522399902,2462.85710906979,1446.99996948242,2878.45230102543,4115.71429443356,20834.6910362244,91177.6640625,15250.6906204229,1836.97618103027,1965.78573608398,3336.61904907229,3600.40472412108,11445.7377929688,18404.5715026855,4618.88107299809,2062.28570556642,3287.00003051758,5426.45229339596,11749.8098068237,56445.3554840088,32688.8567733765,2162.90478515625,4206.59518432626,4591.85705566401,7391.90470886228,1647.02378845214,3134.476196289,7350.57134628291,9249.90460205078,13094.1665039058,14133.3813171387,4857.42847824103,3397.59521484372,4152.47613525392,4335.452331543,2597.42852783202,2286.45234680176,1225.57141113282,1290.19049835205,3615.02380371099,7373.28551483157,9259.5474700928,4158.54769515994,98.1904797554014,1698.09521484376,1382.4285774231,1322.97618103028,886.452362060551,525.476188659663,1089.30954742431,1493.85710525513,2120.69046020507,2691.92852592472,1612.07147502899,2361.35720252987,1492.30950164796,628.047620773314,265.428566455841,662.428560256959,456.833328247066,256.833329200745,930.833328247081,365.309525489806,126.523811340332,177.714283704758,826.833332061769,640.071431159966,195.595237016678,183.214287996293,85.9523818492885,46.4761910438535,43.5000009536743,215.357145309448,108.857141017913,249.976191759109,302.97619628906,397.547616958614,337.7142868042,143.500002384186,192.047616958618,178.571424007416,34.1428577899935,116.952383041382,326.238088607788,96.1190471649173,117.976190567016,151.261904001236,146.619049072266,39.928570747375,38.2619059085846,122.976194381714,75.3333311080935,132.999999046325,105.119050264359,40.9761905670171,141.000001907349,72.9761891365048,50.7857136726387,"panc1"
